Type,ID,Time
TASK,1_M0,2.00241
TASK,1_M2,5.005777
TASK,2_M0,4.004613
TASK,4_M0,2.003036
TASK,5_M1,1.00136
TASK,4_M2,2.002905
TASK,0_R1,3.004131
JOB,0,16:26:54
TASK,8_M0,5.204294
TASK,10_M1,2.20247
TASK,10_M0,4.583411
TASK,10_M2,4.583495
TASK,11_M2,1.003912
TASK,11_M1,5.58453
TASK,11_M3,3.006446
TASK,4_R1,4.005336
JOB,4,16:27:02
TASK,13_M1,3.028774
TASK,14_M1,3.029044
TASK,13_M0,5.037375
TASK,14_M2,4.035872
TASK,11_R0,5.037335
TASK,15_M0,2.012798
TASK,13_R0,2.013109
JOB,13,16:27:09
TASK,20_M1,3.016379
TASK,12_R0,6.022181
JOB,12,16:27:11
TASK,16_M1,4.019889
TASK,15_R0,6.000177
TASK,15_R1,5.011828
JOB,15,16:27:16
TASK,22_M1,3.005586
TASK,16_R0,1.002454
JOB,16,16:27:18
TASK,25_M0,1.00264
TASK,24_M1,5.007391
TASK,27_M1,4.006303
TASK,29_M1,3.003408
TASK,30_M0,3.003631
TASK,30_M1,3.003804
TASK,24_R0,4.007238
JOB,24,16:27:25
TASK,25_R1,3.007053
JOB,25,16:27:25
TASK,25_R0,4.008425
TASK,32_M0,3.008727
TASK,31_M1,6.010988
TASK,30_R0,5.919916
JOB,30,16:27:31
TASK,32_M3,7.011148
TASK,39_M1,3.004476
TASK,35_M1,6.011499
TASK,36_M2,4.006289
TASK,31_R0,4.006355
JOB,31,16:27:37
TASK,32_R0,3.004447
JOB,32,16:27:38
TASK,35_R1,1.001222
JOB,35,16:27:40
TASK,38_R0,1.001514
TASK,34_R0,4.989806
TASK,35_R0,4.005031
TASK,36_R0,3.004512
JOB,36,16:27:42
TASK,41_R0,2.002318
TASK,40_R0,5.006545
JOB,40,16:27:45
TASK,42_R0,2.002885
TASK,42_R1,3.00391
JOB,42,16:27:46
TASK,43_R1,3.004202
JOB,43,16:27:46
TASK,46_M1,3.00302
TASK,44_R1,2.002955
JOB,44,16:27:48
TASK,47_M0,2.003713
TASK,48_M0,2.003837
TASK,49_M0,3.007032
TASK,52_M0,1.001709
TASK,54_M1,1.994086
TASK,52_M1,3.005578
TASK,49_M3,7.013121
TASK,52_M2,4.007197
TASK,57_M0,2.999383
TASK,47_R0,3.003771
TASK,48_R0,4.003175
TASK,54_R1,1.000564
JOB,54,16:27:59
TASK,50_R1,2.002945
JOB,50,16:28:00
TASK,49_R0,6.009336
JOB,49,16:28:01
TASK,59_M2,5.007567
TASK,59_M3,4.006672
TASK,63_M2,2.003037
TASK,60_M2,6.009635
TASK,61_M1,3.005381
TASK,64_M0,5.008165
TASK,59_R0,4.007795
TASK,60_R0,2.004331
JOB,60,16:28:08
TASK,65_M3,2.004476
TASK,64_M2,6.010374
TASK,62_R1,4.0064
JOB,62,16:28:11
TASK,68_M1,1.001499
TASK,68_M0,2.00281
TASK,68_M3,4.007203
TASK,74_M1,2.004232
TASK,64_R0,5.008556
JOB,64,16:28:15
TASK,74_M0,4.006391
TASK,70_R1,1.002147
JOB,70,16:28:17
TASK,75_M3,2.004583
TASK,76_M0,3.007281
TASK,66_R1,8.015849
JOB,66,16:28:20
TASK,68_R0,4.009745
