Type,ID,Time
TASK,0_M0,4.007314
TASK,0_M2,7.009057
TASK,1_M0,6.011584
TASK,2_M2,2.003624
TASK,6_M0,2.004118
TASK,8_M0,2.004676
TASK,2_M3,3.006971
TASK,1_M2,7.016035
TASK,2_M1,4.009472
JOB,8,15:28:07
TASK,2_R0,2.015121
TASK,10_M0,1.008935
TASK,9_M0,2.95081
TASK,9_M1,2.011952
TASK,8_R0,4.019694
TASK,10_M1,7.017556
TASK,10_M3,6.009573
TASK,11_M0,3.009456
TASK,19_M0,1.008009
TASK,14_M2,2.012028
JOB,9,15:28:19
TASK,15_M1,3.016842
TASK,12_M0,4.019957
TASK,10_R0,5.013731
TASK,11_R0,6.76892
JOB,14,15:28:25
TASK,22_M1,2.007657
TASK,23_M0,2.009021
TASK,12_R0,2.012187
JOB,11,15:28:27
TASK,19_R0,3.022125
TASK,21_M2,4.025354
TASK,20_R0,2.006324
TASK,24_M0,4.008598
TASK,26_M0,1.001105
TASK,27_M0,1.001493
TASK,24_M3,2.002625
JOB,21,15:28:33
JOB,22,15:28:33
TASK,24_M2,8.013322
TASK,29_M1,6.009201
JOB,24,15:28:37
TASK,33_M2,2.006774
TASK,30_M1,4.01279
TASK,33_M0,3.011615
TASK,30_M2,5.01575
TASK,31_M0,4.014627
TASK,34_M3,4.013323
TASK,27_R0,2.003019
JOB,27,15:28:42
TASK,35_M0,3.04442
TASK,35_M1,4.046362
JOB,33,15:28:43
JOB,30,15:28:44
JOB,31,15:28:44
TASK,38_M1,4.049391
TASK,39_M1,2.005421
TASK,39_M2,2.005779
TASK,42_M0,1.001723
TASK,41_M0,2.01612
TASK,42_M3,1.01428
TASK,43_M0,1.015871
JOB,36,15:28:48
TASK,41_M2,3.023006
TASK,42_M2,4.021538
TASK,44_M0,5.01623
TASK,44_M3,2.002227
TASK,40_R0,3.004511
TASK,44_M2,3.005619
JOB,41,15:28:54
JOB,39,15:28:55
JOB,40,15:28:55
TASK,48_M3,2.003725
TASK,49_M1,2.980457
TASK,47_M1,7.019314
JOB,44,15:28:58
TASK,44_R0,4.006999
TASK,49_M3,3.00533
TASK,49_M2,5.007276
TASK,50_M0,5.008401
TASK,51_M1,1.005298
TASK,47_R0,1.008949
TASK,52_M0,2.013961
TASK,52_M1,2.014477
TASK,55_M0,2.004713
JOB,47,15:29:04
JOB,49,15:29:05
TASK,55_M1,4.010535
TASK,55_M2,3.00823
TASK,56_M1,4.007782
TASK,57_M2,3.006077
TASK,51_R0,1.002805
TASK,56_M2,4.010964
TASK,59_M1,1.002554
TASK,59_M2,1.003259
JOB,57,15:29:09
TASK,59_M0,5.037725
JOB,53,15:29:10
TASK,54_R0,5.037386
JOB,56,15:29:11
JOB,54,15:29:12
TASK,56_R0,4.037727
TASK,60_M3,4.007101
TASK,61_M2,2.006865
TASK,64_M0,1.002425
TASK,61_M1,4.011767
TASK,63_M2,3.00566
TASK,64_M3,2.003852
TASK,66_M2,2.004512
TASK,64_M2,4.994422
TASK,66_M1,3.006519
TASK,66_M0,4.008202
TASK,61_R0,5.004899
TASK,67_M3,1.001712
JOB,61,15:29:20
TASK,67_M2,2.003891
TASK,65_R0,3.00531
TASK,70_M1,2.003334
JOB,64,15:29:22
JOB,66,15:29:22
TASK,71_M2,3.006153
TASK,70_M2,4.009472
TASK,71_M3,3.008751
TASK,72_M1,3.009329
JOB,68,15:29:24
TASK,74_M0,1.007157
TASK,73_M0,3.012253
TASK,76_M0,1.001791
TASK,76_M1,1.002595
TASK,70_R0,2.005173
TASK,77_M1,2.004875
JOB,70,15:29:28
TASK,75_M2,3.009572
TASK,74_M3,6.024103
TASK,82_M0,2.00461
JOB,73,15:29:30
TASK,83_M1,1.004529
TASK,79_M0,6.018806
TASK,79_M1,4.012871
TASK,81_M1,4.013545
JOB,74,15:29:33
JOB,76,15:29:33
JOB,79,15:29:34
JOB,77,15:29:36
TASK,84_M0,4.008666
TASK,79_R0,4.007107
TASK,80_R0,3.007052
JOB,80,15:29:36
JOB,81,15:29:36
JOB,83,15:29:36
JOB,84,15:29:37
TASK,86_M0,3.006037
TASK,88_M1,1.00182
TASK,88_M0,2.003838
TASK,89_M0,2.004126
TASK,87_M0,3.00648
TASK,88_M2,3.007978
TASK,86_M1,6.019317
TASK,92_M2,3.014555
TASK,95_M1,2.009673
TASK,92_M1,5.019176
TASK,95_M0,5.023196
TASK,96_M1,4.018316
TASK,97_M0,5.015284
JOB,86,15:29:47
JOB,89,15:29:47
TASK,90_R0,3.010704
JOB,90,15:29:47
JOB,92,15:29:49
TASK,92_R0,5.011755
JOB,95,15:29:50
JOB,97,15:29:50
TASK,98_M1,2.006266
TASK,98_M0,3.009303
TASK,99_M0,3.009718
JOB,99,15:29:54
JOB,98,15:29:55
