Type,ID,Time
TASK,0_M3,3.277933
TASK,3_M0,1.921025
TASK,0_M0,4.279543
TASK,2_M1,3.005813
TASK,5_M0,3.228769
TASK,6_M0,4.451627
JOB,1,16:21:29
TASK,7_M1,4.011633
TASK,9_M1,2.888677
TASK,10_M0,3.010716
JOB,5,16:21:33
TASK,7_R0,2.506299
TASK,8_R0,2.505442
TASK,11_M1,5.615353
JOB,7,16:21:35
TASK,13_M0,4.108165
TASK,13_M2,4.005463
TASK,14_M0,2.00331
TASK,11_R0,3.004822
JOB,10,16:21:44
TASK,16_M1,3.34935
TASK,13_R0,3.349576
JOB,14,16:21:45
TASK,20_M1,2.333479
TASK,21_M1,3.347831
TASK,22_M3,2.004019
JOB,16,16:21:50
JOB,17,16:21:50
JOB,18,16:21:50
TASK,25_M0,3.006025
JOB,21,16:21:50
TASK,29_M0,1.46277
TASK,27_M0,2.593482
TASK,28_M1,2.593348
TASK,29_M1,2.593393
TASK,28_M0,4.688064
TASK,32_M0,1.001637
TASK,31_M1,2.002456
TASK,34_M0,3.00438
TASK,30_M0,7.231064
TASK,31_M0,4.006198
TASK,35_M2,2.002819
JOB,25,16:22:01
TASK,29_R0,6.281184
TASK,30_R0,4.007111
JOB,30,16:22:05
JOB,31,16:22:05
TASK,36_M2,5.009945
TASK,39_M3,1.001788
TASK,39_M1,2.004526
TASK,39_M2,4.00665
TASK,41_M1,1.002301
TASK,43_M0,1.002477
TASK,40_M0,5.008636
TASK,44_M3,1.001212
TASK,41_M2,4.009768
TASK,44_M1,3.004824
TASK,44_M2,2.004116
TASK,46_M0,2.995566
JOB,37,16:22:14
TASK,47_M0,1.001212
TASK,46_M2,3.003463
TASK,46_M3,3.005421
JOB,40,16:22:16
JOB,41,16:22:17
TASK,49_M0,1.993119
JOB,39,16:22:18
TASK,46_R0,2.997486
JOB,47,16:22:23
JOB,49,16:22:25
