Type,ID,Time
TASK,0_M1,2.00321
TASK,1_M0,5.722816
TASK,3_M0,6.841092
TASK,3_M3,4.00721
TASK,4_M2,1.002259
TASK,8_M1,1.002417
TASK,4_M0,3.009574
TASK,5_M0,2.005603
TASK,5_M2,3.007783
TASK,9_M2,1.002591
TASK,2_R0,4.010051
TASK,10_M0,2.004801
JOB,3,15:20:53
TASK,4_R0,3.99069
TASK,6_R0,2.004436
TASK,12_M0,4.007974
TASK,7_R0,4.009563
JOB,9,15:20:56
JOB,10,15:20:58
JOB,12,15:20:58
TASK,12_R0,3.005305
TASK,13_M1,4.008644
TASK,13_M2,4.009101
TASK,14_M0,4.009503
TASK,18_M2,1.001246
TASK,17_M0,6.592179
TASK,23_M0,1.000818
JOB,17,15:21:06
TASK,19_M0,7.015439
JOB,13,15:21:07
JOB,15,15:21:07
TASK,21_M0,4.010571
TASK,22_M0,4.012027
TASK,20_R0,1.00131
JOB,22,15:21:09
TASK,25_M1,6.016401
TASK,27_M3,3.005135
JOB,19,15:21:10
JOB,21,15:21:11
JOB,20,15:21:12
JOB,25,15:21:12
TASK,26_R0,1.003182
JOB,26,15:21:12
TASK,31_M0,4.010187
TASK,31_M1,3.009358
TASK,32_M0,3.004326
TASK,34_M0,1.001308
TASK,33_M2,2.002938
TASK,35_M0,3.004984
TASK,33_M1,5.006463
JOB,31,15:21:18
TASK,30_R0,2.003934
TASK,36_M0,2.005547
JOB,29,15:21:20
TASK,37_M1,3.011523
JOB,33,15:21:20
TASK,31_R0,4.014236
TASK,38_M1,2.004904
TASK,38_M3,1.999936
TASK,39_M0,1.002946
TASK,39_M2,2.006994
TASK,40_M1,2.006884
JOB,37,15:21:24
TASK,40_M0,4.010859
TASK,41_M1,4.01116
TASK,42_M0,1.002399
TASK,45_M0,1.002574
JOB,38,15:21:27
TASK,41_M2,7.017663
TASK,45_M1,7.013323
TASK,40_R0,4.010622
JOB,40,15:21:32
TASK,41_R0,1.004996
TASK,48_M0,3.010007
TASK,51_M0,3.011088
JOB,45,15:21:34
TASK,48_M1,4.014034
TASK,55_M0,1.002111
TASK,47_R0,5.01149
JOB,47,15:21:38
TASK,53_M0,4.009208
TASK,54_M2,4.011569
TASK,55_M1,4.012613
TASK,48_R0,6.01513
TASK,54_R0,1.002959
TASK,58_M1,3.006621
JOB,50,15:21:43
TASK,56_M0,4.0113
TASK,53_R0,3.999267
JOB,53,15:21:44
TASK,62_M0,3.006362
TASK,61_M1,5.004885
TASK,62_M1,3.960076
TASK,64_M0,4.465978
JOB,56,15:21:50
TASK,58_R0,1.006552
TASK,56_R0,4.482945
JOB,59,15:21:51
TASK,57_R0,3.012549
TASK,64_M1,3.012742
TASK,65_M0,3.011828
TASK,67_M1,2.005283
TASK,62_R0,2.005526
TASK,69_M1,2.001812
TASK,65_R0,1.00247
TASK,67_M0,4.523917
JOB,64,15:21:55
JOB,62,15:21:56
TASK,70_M0,3.99974
TASK,71_M0,3.004113
TASK,70_M1,4.007259
JOB,67,15:21:58
TASK,71_M1,3.007381
TASK,67_R0,3.007832
TASK,72_M2,3.007701
TASK,74_M1,1.001638
TASK,74_M2,1.002068
TASK,74_M0,4.010437
JOB,70,15:22:03
TASK,75_M0,4.013996
TASK,76_M0,3.013211
TASK,76_M1,3.013681
TASK,77_M1,3.012849
TASK,78_M0,1.010211
TASK,78_M1,3.018078
TASK,77_R0,2.003264
JOB,76,15:22:07
TASK,81_M2,2.000206
TASK,79_M1,5.009505
JOB,75,15:22:08
TASK,76_R0,4.008705
JOB,77,15:22:08
TASK,82_M1,2.002948
TASK,83_M1,2.009833
TASK,86_M0,1.002977
TASK,80_R0,2.005885
TASK,85_M0,2.00578
TASK,84_M0,4.016549
JOB,79,15:22:13
JOB,80,15:22:13
TASK,87_M0,7.015063
JOB,82,15:22:18
TASK,90_M2,4.007452
JOB,84,15:22:20
TASK,91_M1,1.002837
TASK,92_M0,1.003129
JOB,87,15:22:21
TASK,91_M0,6.0124
TASK,96_M0,3.006922
TASK,90_R0,3.027722
JOB,90,15:22:24
JOB,95,15:22:25
JOB,96,15:22:25
TASK,99_M0,3.010721
TASK,94_R0,3.011566
JOB,92,15:22:27
TASK,95_R0,4.014334
JOB,98,15:22:28
